# Date: 04_11_2015
# Reduction method: manual
# Reduction engine: RefRed
# # Date: 04_11_2015
#
# DataRun	NormRun	2theta(degrees)	LambdaMin(A)	LambdaMax(A)	Qmin(1/A)	Qmax(1/A)	ScalingFactor
# 130821	130788	1.20		13.36		16.63		0.0079		0.0098		1
# 130822	130789	1.20		10.81		14.19		0.0093		0.0122		1
# 130823	130790	1.20		7.84		11.27		0.0117		0.0168		1
# 130824	130791	1.20		4.89		8.23		0.0160		0.0269		1
# 130825	130792	1.38		2.60		5.84		0.0259		0.0582		1
# 130826	130792	2.74		2.60		5.84		0.0514		0.1156		1
# 130827	130792	5.42		2.60		5.84		0.1017		0.2285		1
#
# Clocking Correction used
# clock1: 120
# clock2: 197
# dQ0[1/Angstroms]= 0.0004
# dQ/Q= 0.023
#
# Q[1/Angstroms] R delta_R Precision
0.00828506027205 0.571477599162 0.0374060241276 0.000590556386257
0.00847561665831 0.562573394313 0.0344527170177 0.000594939183141
0.00867055584145 0.557678953849 0.0316659289649 0.000599422784353
0.0088699786258 0.538665648289 0.029412670873 0.000604009508393
0.00907398813419 0.53594754351 0.0270664309338 0.000608701727086
0.00928268986128 0.513976631256 0.0249422531181 0.000613501866809
0.00949619172809 0.509182113094 0.0227580177832 0.000618412409746
0.00971460413784 0.435487668661 0.0197552037839 0.00062343589517
0.00993804003301 0.498625419679 0.0238794762248 0.000628574920759
0.0101666149538 0.436618507867 0.0205613039438 0.000633832143937
0.0104004470977 0.299344491309 0.016288148398 0.000639210283247
0.010639657381 0.212395023264 0.0132314496839 0.000644712119762
0.0108843695007 0.175419754771 0.0113626185174 0.000650340498516
0.0111347099992 0.153409486281 0.0100363883324 0.000656098329982
0.0113908083292 0.130481288586 0.00889430355014 0.000661988591572
0.0116527969208 0.121949304454 0.00789851794602 0.000668014329178
0.01192081125 0.0999947710434 0.00679644522763 0.000674178658749
0.0124754746766 0.280361705646 0.0188297227682 0.000686935917562
0.0127624105942 0.25533883728 0.0168405112764 0.000693535443666
0.0130559460378 0.21298056799 0.0144407120435 0.00070028675887
0.0133562327967 0.220071269493 0.0137727426242 0.000707193354324
0.013663426151 0.192191364683 0.011819007507 0.000714258801474
0.0139776849525 0.181409085255 0.0108841071673 0.000721486753908
0.0142991717064 0.170859314204 0.0101742252574 0.000728880949248
0.0146280526557 0.14506966059 0.00898497885477 0.00073644521108
0.0149644978667 0.116450751944 0.00760810268104 0.000744183450935
0.0153086813177 0.104151758828 0.0067651346749 0.000752099670307
0.015660780988 0.0779654170664 0.0057992311953 0.000760197962724
